data;id;command
2021-04-01;378950106;main_tomorrow
2021-04-01;378950106;main_today
2021-04-01;378950106;main_tomorrow
2021-04-01;378950106;main_current
2021-04-01;378950106;main_next
2021-04-06;378950106;main_today
2021-04-06;378950106;main_tomorrow
2021-04-06;378950106;main_current
2021-04-06;378950106;main_next
2021-04-06;378950106;main_current
2021-04-06;378950106;main_settings
2021-04-06;378950106;change_group
2021-04-06;378950106;1-ТИД-3
2021-04-06;378950106;main_settings
2021-04-06;378950106;change_view_type
2021-04-06;378950106;short
2021-04-06;378950106;main_tomorrow
2021-04-06;378950106;main_today
2021-04-06;378950106;main_next
2021-04-06;378950106;main_current
2021-04-06;378950106;main_settings
2021-04-06;378950106;change_view_type
2021-04-06;378950106;full
2021-04-06;378950106;main_today
2021-04-06;378950106;main_tomorrow
